<analysis>**original_problem_statement:**
The initial request was to pull the  repository from GitHub. The user then outlined a series of tasks for two separate applications: the Grabbitt User App and the Grabbitt Seller App.

**PRODUCT REQUIREMENTS:**
**Grabbitt User App:**
1.  Remove the entire feature of scanning a QR code.
2.  Generate a unique, permanent, and non-editable QR code for the user upon signup.
3.  Display this QR code on the home screen and the user's profile.
4.  Fix a swipe-back issue on Android.
5.  Perform a full code refactor to make the app production ready by improving modularity, UI consistency, navigation, and error handling.
6.  Add a global error boundary to prevent app crashes.

**Grabbitt Seller App:**
1.  Switch to the  repository.
2.  Perform a similar production-ready refactor (add ErrorBoundary, fix navigation, improve UI, etc.).
3.  Fix a list of specific bugs, including UI glitches in light theme, making location mandatory in registration, and adding validation for business verification.
4.  Completely remove the Generate QR code functionality.
5.  The seller should now only be able to scan the QR code from the user's app.
6.  The scanning flow must handle different reward types:
    *   **default**: Instantly award a fixed number of reward points.
    *   **percentage/slab**: Prompt the seller to enter the customer's order amount to calculate and award points.
7.  Add haptic feedback for a successful scan.
8.  Redesign the Reward Type section in the profile to be more user-friendly and less confusing.

**User's preferred language**: English

**what currently exists?**
The agent has completed all requested tasks for the **Grabbitt User App**, including feature changes, refactoring, and adding a global error boundary.

The agent then switched to the **Grabbitt Seller App** and has completed a significant portion of the work:
-   Initial refactoring and several bug fixes have been implemented.
-   The core feature of Generate QR has been successfully removed.
-   A new Scan Customer QR feature has been built, which includes the logic for handling different reward types (, , ) and the UI for entering an order amount.
-   Haptic feedback has been added to the scan process.
-   The codebase is currently on the  repository.

**Last working item**:
-   **Last item agent was working:** The agent was tasked with redesigning the Reward Type section on the seller's profile page to make it more intuitive and user-friendly. The agent analyzed the existing confusing implementation in  and was about to begin creating a new, redesigned component.
-   **Status:** NOT STARTED
-   **Agent Testing Done:** N
-   **Which testing method agent to use?** frontend testing agent
-   **User Testing Done:** N

**All Pending/In progress Issue list**:
-   **Issue 1 (P0):** Redesign the Reward Settings UI in the Seller App. The current implementation is confusing and needs a complete UI/UX overhaul to be more intuitive for sellers.
-   **Issue 2 (P1):** No end-to-end testing has been performed on the Seller app since the major refactoring, feature removal (Generate QR), and new feature addition (Scan Customer QR). This poses a high risk of regressions and broken functionality.

**Issues Detail:**
-   **Issue 1: Redesign Reward Settings UI**
    -   **Attempted fixes:** None. Analysis of the existing component is complete.
    -   **Next debug checklist:**
        1.  Create a new, redesigned component to replace .
        2.  The new design should use clear, card-based UI and provide simple, step-by-step guidance for a seller to choose and configure their reward type (Default, Percentage, or Slab).
        3.  Integrate the new component into the profile screen at .
        4.  Ensure the state and data flow are correctly handled.
    -   **Why fix this issue and what will be achieved with the fix?** This will significantly improve the seller's user experience, reducing confusion and errors when setting up their loyalty program.
    -   **Status:** NOT STARTED
    -   **Is recurring issue?** N
    -   **Should Test frontend/backend/both after fix?** Frontend
